H,H_avg_TC,prod_inno,prod_imi,alive_firms_with_prod,TC_viewed,price_inno,price_imi
4.804459611062601E-5,5.508902767318137E-4,0.102,0.343,0.027,0.101,0.002042062996942457,0.0011810332389015775
5.213101830067658E-5,5.466866995277638E-4,0.105,0.349,0.027,0.103,0.0020210913682126453,0.0011411305787545414
5.658530389740382E-5,5.238535339904492E-4,0.107,0.381,0.027,0.104,0.0019695139189207208,0.0011386171043996202
6.198570157265243E-5,5.161594485410749E-4,0.105,0.376,0.026,0.105,0.0019677653323530637,0.0011334407591116202
6.489044842449304E-5,5.03634576141142E-4,0.108,0.398,0.026,0.106,0.0019293792030636075,0.0011230112876209283
6.324506038751933E-5,4.7596278086350143E-4,0.112,0.427,0.026,0.107,0.0018664250802462388,0.001143472423050368
6.404275923690897E-5,4.737680345518433E-4,0.113,0.441,0.026,0.109,0.0018483166419686517,0.0011363901068792985
6.558444221096013E-5,4.5827709676451826E-4,0.115,0.475,0.026,0.11,0.001809476495022579,0.0011291611254073551
6.984552720448389E-5,4.287913373527679E-4,0.115,0.53,0.026,0.11,0.0017625454388010685,0.0011347968143656877
6.782340862717107E-5,4.3156300839264193E-4,0.119,0.515,0.026,0.113,0.0017591376683692096,0.0011169511459525904
7.642228328463863E-5,4.1267211924282064E-4,0.114,0.541,0.024,0.113,0.0017396362265058877,0.0011295914934855735
7.568994308962836E-5,3.891419475478894E-4,0.115,0.54,0.024,0.113,0.0016920717502632854,0.0011203467564856425
7.727011109804134E-5,3.822835347801504E-4,0.116,0.544,0.024,0.114,0.00165997964808815,0.0011107114998630222
7.959946941912401E-5,3.668858614866423E-4,0.12,0.567,0.024,0.116,0.0016323208566708229,0.0011157156399541836
7.979279921395016E-5,3.5312746895950074E-4,0.117,0.58,0.023,0.116,0.0015960063576813473,0.001117429517514818
8.216364950890362E-5,3.435697815140377E-4,0.117,0.585,0.023,0.116,0.0015682863438342526,0.0011141691149657846
8.276800589420983E-5,3.4049526364824767E-4,0.119,0.588,0.023,0.116,0.0015425889644141205,0.0011058132377593731
8.60961586986213E-5,3.324551556838175E-4,0.119,0.605,0.023,0.117,0.0015364210024982254,0.0011052760540559415
8.565950463848776E-5,3.245254436039371E-4,0.119,0.606,0.023,0.117,0.00151538393677879,0.0011030511797595127
8.635745263708036E-5,3.213260375966042E-4,0.12,0.611,0.023,0.117,0.001499150821675837,0.0011003736855161148
9.353794800907117E-5,3.078817760462688E-4,0.124,0.634,0.023,0.119,0.0014833529668360108,0.001111726540430756
1.0286787958151192E-4,3.0353300987556714E-4,0.127,0.641,0.023,0.12,0.0014708382476886508,0.001109364187366893
1.0512964612064706E-4,2.9258197923233013E-4,0.125,0.653,0.023,0.12,0.0014460940931265698,0.0011078978213970986
1.2076057062872383E-4,2.906072905134838E-4,0.128,0.659,0.023,0.122,0.001441102334283955,0.0011062538458691403
1.2362208533106027E-4,2.880565199894198E-4,0.13,0.675,0.023,0.123,0.0014287023675701226,0.0011043038917554916
1.2784805441075565E-4,2.793800804713597E-4,0.13,0.689,0.023,0.123,0.001412602428300882,0.0011050964160050805
1.1604143900789565E-4,2.665059408150708E-4,0.132,0.715,0.023,0.124,0.001395794911209674,0.0011074858317545121
1.2481064249554954E-4,2.679281570828738E-4,0.132,0.708,0.023,0.125,0.0014004518709132047,0.0011018012615725597
1.3092508774365576E-4,2.6026770400635945E-4,0.132,0.747,0.023,0.125,0.0013823823322604313,0.001098642661524244
1.3651123131356118E-4,2.632559437910552E-4,0.135,0.736,0.023,0.125,0.0013718058222041665,0.001095318414805784
1.5811720202853213E-4,2.7298135652976285E-4,0.138,0.737,0.023,0.127,0.0013892726026805968,0.0010931530378172974
1.5548162002100674E-4,2.7215843143974774E-4,0.139,0.751,0.023,0.128,0.0013927459799764601,0.0010952133574027225
1.5893932397171746E-4,2.8161539128174564E-4,0.143,0.753,0.023,0.13,0.0014055336287721735,0.0010914713905203488
1.6002768385162014E-4,2.8075821193936546E-4,0.142,0.75,0.023,0.13,0.001404422298233199,0.001090076801785446
1.7796546218246353E-4,2.83293145254471E-4,0.144,0.751,0.023,0.131,0.0014080599524901372,0.0010907769870303844
1.9498662922487703E-4,2.8670822034893923E-4,0.144,0.753,0.023,0.131,0.0014082773813453597,0.00108982527203922
2.1320861230349734E-4,2.831829529350448E-4,0.145,0.751,0.023,0.131,0.0014093965733533212,0.0010902101254406354
1.8551954621967576E-4,2.81709480097052E-4,0.145,0.74,0.022,0.131,0.0013987021386590954,0.001092417287995858
1.767357573883462E-4,2.7780755954613694E-4,0.145,0.746,0.022,0.133,0.0014043751950182605,0.0011030134709504133
1.8759162722425192E-4,2.834403056163116E-4,0.148,0.745,0.022,0.134,0.001400811113779521,0.0010975012642254645
1.9396096082571152E-4,2.837161813161456E-4,0.149,0.746,0.022,0.135,0.0014005057236071402,0.0010971793327482027
1.840682663001717E-4,2.79436675468893E-4,0.15,0.749,0.022,0.135,0.0013949469848929328,0.0010951486994380437
1.7527650391548286E-4,2.7673113185443785E-4,0.15,0.75,0.022,0.135,0.0013840994897808428,0.0010950533923355878
1.8311525567606704E-4,2.6814345988605376E-4,0.153,0.763,0.022,0.135,0.0013716613679599057,0.0010965894602340785
1.9449603190238438E-4,2.69109454988609E-4,0.156,0.76,0.022,0.136,0.001363229155706238,0.001096634822352911
2.1156481264849493E-4,2.711465666786155E-4,0.161,0.764,0.022,0.136,0.0013488348932547134,0.001093796915117292
2.399141057368363E-4,2.7486797851219584E-4,0.16,0.751,0.022,0.136,0.0013522553302748126,0.0010939399218128749
2.3086572022197366E-4,2.6379263966427283E-4,0.162,0.759,0.022,0.136,0.0013449580273416568,0.0010958166667044428
2.3484559989991904E-4,2.6036690433050983E-4,0.163,0.759,0.022,0.136,0.0013323507676158235,0.0010951100818330044
2.830726310784648E-4,2.6983127602130797E-4,0.167,0.762,0.022,0.138,0.001343091693029615,0.0010942558074368135
3.035866588143735E-4,2.759304084513889E-4,0.169,0.764,0.022,0.139,0.0013485959882632162,0.0010931015143974732
2.686828913440023E-4,2.8039538275859437E-4,0.171,0.759,0.022,0.14,0.0013553230935367288,0.0010931004929709742
2.531305677163225E-4,2.808781981284773E-4,0.174,0.762,0.022,0.14,0.0013493832967738644,0.0010948256201396465
2.51945844862001E-4,2.891793600843151E-4,0.173,0.756,0.022,0.141,0.0013647420837913286,0.0010941928205846266
2.4464928555919147E-4,2.86930237237629E-4,0.175,0.767,0.022,0.142,0.001365994152788636,0.0010972501031239774
2.3518099139807012E-4,2.877171102781959E-4,0.173,0.746,0.021,0.142,0.0013638726848776276,0.0010972287530765098
2.2982176186714035E-4,2.866461424412965E-4,0.174,0.749,0.021,0.142,0.001359322063782187,0.0010975389058902392
2.2660765086287616E-4,2.8692807944548414E-4,0.176,0.751,0.021,0.143,0.0013625297818011957,0.0010991583980688713
2.1722597070779798E-4,2.840540466369399E-4,0.177,0.751,0.021,0.143,0.0013563708650792424,0.0010980810135397924
2.5561110085707133E-4,2.8761851369940583E-4,0.183,0.754,0.021,0.145,0.0013696652814524561,0.0010969247489137322
2.7372206922280523E-4,2.9226158958442304E-4,0.184,0.767,0.021,0.147,0.0013750396371118114,0.0010995893718964542
2.564263407180952E-4,2.9670614507552943E-4,0.18,0.75,0.02,0.148,0.0013830431860360442,0.0011037209785446313
2.376567830800627E-4,2.995987049551001E-4,0.183,0.746,0.02,0.149,0.001392521649508714,0.001100786076662617
2.58224015222276E-4,3.029470622533074E-4,0.185,0.751,0.02,0.15,0.0013992790089537896,0.001100385738956387
3.013996235182298E-4,3.1492430721492555E-4,0.19,0.758,0.02,0.154,0.0014243343900744321,0.001102150841245829
2.8254332993821727E-4,3.2195352266292665E-4,0.188,0.745,0.019,0.155,0.0014313205277312446,0.0011042537196113793
2.990106782499362E-4,3.299931843585866E-4,0.193,0.743,0.019,0.157,0.0014397298576418272,0.001104529330362033
2.7192635896054545E-4,3.2136027938889903E-4,0.191,0.758,0.019,0.158,0.0014406944469282671,0.0011095190126134038
